BIOZ1_MAG,BIOZ1_PHASE,EXC_FREQ_KHZ,EXC_PIN,GND_PIN,SNS_AP_PIN,SNS_AN_PIN,PACKET_NUMBER
1.854157,2.719555,100,5,13,1,2,3
2.180415,2.733241,100,5,13,2,3,7
3.906595,2.764449,100,5,13,3,4,11
4.100409,-0.358944,100,5,13,6,7,15
2.642615,-0.419512,100,5,13,7,8,19
2.161656,-0.299904,100,5,13,8,9,23
2.316656,-0.432017,100,5,13,9,10,27
2.566908,-0.345503,100,5,13,10,11,31
4.215369,-0.43914,100,5,13,11,12,35
4.774267,2.718003,100,5,13,14,15,39
4.040907,2.749784,100,5,13,15,16,43
2.132338,2.713045,100,6,14,1,2,47
1.854951,2.719254,100,6,14,2,3,51
2.322813,2.749292,100,6,14,3,4,55
3.431818,2.723464,100,6,14,4,5,59
4.085,-0.404022,100,6,14,7,8,63
2.567502,-0.345538,100,6,14,8,9,67
2.365966,-0.413243,100,6,14,9,10,71
2.292373,-0.330201,100,6,14,10,11,75
2.877371,-0.407671,100,6,14,11,12,79
4.724827,-0.452493,100,6,14,12,13,83
6.401914,2.727401,100,6,14,15,16,87
3.142595,2.697961,100,7,15,1,2,91
2.219495,2.710563,100,7,15,2,3,95
2.175211,2.732468,100,7,15,3,4,99
2.177804,2.732523,100,7,15,4,5,103
3.674759,2.757801,100,7,15,5,6,107
3.776182,-0.361511,100,7,15,8,9,111
2.596381,-0.436469,100,7,15,9,10,115
2.018671,-0.310893,100,7,15,10,11,119
2.324122,-0.392338,100,7,15,11,12,123
3.197409,-0.48666,100,7,15,12,13,127
6.029088,-0.42598,100,7,15,13,14,131
4.718924,2.727679,100,8,16,1,2,135
2.7724,2.702113,100,8,16,2,3,139
2.314498,2.709054,100,8,16,3,4,143
1.996496,2.739181,100,8,16,4,5,147
2.415628,2.746299,100,8,16,5,6,151
3.858253,2.753466,100,8,16,6,7,155
3.939304,-0.437018,100,8,16,9,10,159
2.200788,-0.324348,100,8,16,10,11,163
1.996361,-0.402543,100,8,16,11,12,167
2.315646,-0.472098,100,8,16,12,13,171
3.438403,-0.391194,100,8,16,13,14,175
6.630679,-0.423186,100,8,16,14,15,179
4.075514,2.692353,100,9,1,2,3,183
2.642615,2.72208,100,9,1,3,4,187
1.991399,2.692649,100,9,1,4,5,191
2.083765,2.691584,100,9,1,5,6,195
2.474914,2.800681,100,9,1,6,7,199
4.040232,2.74962,100,9,1,7,8,203
3.456585,-0.337938,100,9,1,10,11,207
2.229765,-0.388986,100,9,1,11,12,211
1.991136,-0.448876,100,9,1,12,13,215
2.515204,-0.36147,100,9,1,13,14,219
4.32522,-0.375554,100,9,1,14,15,223
5.062942,-0.389646,100,9,1,15,16,227
4.07745,2.714956,100,10,2,3,4,231
2.315963,2.709479,100,10,2,4,5,235
2.087325,2.736068,100,10,2,5,6,239
2.095727,2.78019,100,10,2,6,7,243
2.506089,2.743439,100,10,2,7,8,247
3.691691,2.807751,100,10,2,8,9,251
3.712979,-0.397233,100,10,2,11,12,255
2.315963,-0.432114,100,10,2,12,13,3
2.279607,-0.370404,100,10,2,13,14,7
3.496072,-0.352664,100,10,2,14,15,11
3.721418,-0.372392,100,10,2,15,16,15
3.663861,-0.408754,100,11,3,1,2,19
3.749401,2.681977,100,11,3,4,5,23
2.501124,2.706652,100,11,3,5,6,27
2.223626,2.711275,100,11,3,6,7,31
2.131207,2.712983,100,11,3,7,8,35
2.34378,2.828188,100,11,3,8,9,39
4.074022,2.646677,100,11,3,9,10,43
3.614876,-0.420955,100,11,3,12,13,47
2.464096,-0.377999,100,11,3,13,14,51
3.261172,-0.358268,100,11,3,14,15,55
3.302301,-0.373786,100,11,3,15,16,59
2.271924,-0.411076,100,12,4,1,2,63
3.658569,-0.434168,100,12,4,2,3,67
4.164988,2.669468,100,12,4,5,6,71
2.690479,2.738324,100,12,4,6,7,75
2.175541,2.690741,100,12,4,7,8,79
2.054856,2.804963,100,12,4,8,9,83
2.463605,2.763529,100,12,4,9,10,87
3.679582,2.782903,100,12,4,10,11,91
3.679582,-0.35869,100,12,4,13,14,95
3.628592,-0.369918,100,12,4,14,15,99
3.444499,-0.364435,100,12,4,15,16,103
2.038791,-0.426737,100,13,5,1,2,107
2.279607,-0.370404,100,13,5,2,3,111
4.082294,-0.404016,100,13,5,3,4,115
3.947309,2.751668,100,13,5,6,7,119
2.453396,2.688366,100,13,5,7,8,123
2.016335,2.830875,100,13,5,8,9,127
2.179693,2.733243,100,13,5,9,10,131
2.382525,2.805903,100,13,5,10,11,135
4.218038,2.72439,100,13,5,11,12,139
4.856771,-0.338282,100,13,5,14,15,143
4.283047,-0.363822,100,13,5,15,16,147
2.31735,-0.392842,100,14,6,1,2,151
2.017138,-0.310588,100,14,6,2,3,155
2.415068,-0.395259,100,14,6,3,4,159
3.475442,-0.432084,100,14,6,4,5,163
3.936086,2.681194,100,14,6,7,8,167
2.383391,2.8058,100,14,6,8,9,171
2.13177,2.712849,100,14,6,9,10,175
2.096212,2.780155,100,14,6,10,11,179
2.734902,2.720169,100,14,6,11,12,183
4.633461,2.709476,100,14,6,12,13,187
6.615859,-0.359892,100,14,6,15,16,191
3.212211,-0.370863,100,15,7,1,2,195
2.332259,-0.352669,100,15,7,2,3,199
2.225093,-0.430655,100,15,7,3,4,203
2.281044,-0.37031,100,15,7,4,5,207
3.900712,-0.400858,100,15,7,5,6,211
3.709543,2.719553,100,15,7,8,9,215
2.317654,2.709605,100,15,7,9,10,219
1.913027,2.790979,100,15,7,10,11,223
2.225099,2.711269,100,15,7,11,12,227
3.106284,2.62488,100,15,7,12,13,231
5.847179,2.732901,100,15,7,13,14,235
5.00785,-0.416597,100,16,8,1,2,239
2.976134,-0.378718,100,16,8,2,3,243
2.414587,-0.395323,100,16,8,3,4,247
2.09628,-0.361538,100,16,8,4,5,251
2.607419,-0.36526,100,16,8,5,6,255
3.957037,-0.366407,100,16,8,6,7,3
3.705094,2.644734,100,16,8,9,10,7
2.045362,2.760357,100,16,8,10,11,11
1.851844,2.669597,100,16,8,11,12,15
2.045494,2.578837,100,16,8,12,13,19
3.295163,2.739903,100,16,8,13,14,23
6.44884,2.734155,100,16,8,14,15,27
4.318855,-0.397003,100,1,9,2,3,31
2.741895,-0.387487,100,1,9,3,4,35
2.09663,-0.361374,100,1,9,4,5,39
2.280816,-0.370342,100,1,9,5,6,43
2.619509,-0.330134,100,1,9,6,7,47
4.176864,-0.405463,100,1,9,7,8,51
3.21157,2.770665,100,1,9,10,11,55
2.130114,2.669562,100,1,9,11,12,59
1.769381,2.564685,100,1,9,12,13,63
2.409813,2.707905,100,1,9,13,14,67
4.127939,2.725583,100,1,9,14,15,71
4.930476,2.763523,100,1,9,15,16,75
4.225948,-0.395291,100,2,10,3,4,79
2.372497,-0.374368,100,2,10,4,5,83
2.280589,-0.370374,100,2,10,5,6,87
2.215743,-0.282864,100,2,10,6,7,91
2.599529,-0.400756,100,2,10,7,8,95
3.906984,-0.377111,100,2,10,8,9,99
3.658049,2.682287,100,2,10,11,12,103
2.045698,2.57887,100,2,10,12,13,107
2.129901,2.66953,100,2,10,13,14,111
3.431023,2.723499,100,2,10,14,15,115
3.445984,2.777187,100,2,10,15,16,119
3.48787,2.762494,100,3,11,1,2,123
3.801039,-0.423453,100,3,11,4,5,127
2.699859,-0.368981,100,3,11,5,6,131
2.253162,-0.306914,100,3,11,6,7,135
2.230209,-0.388922,100,3,11,7,8,139
2.527608,-0.324985,100,3,11,8,9,143
4.353392,-0.45079,100,3,11,9,10,147
3.475442,2.629551,100,3,11,12,13,151
2.31511,2.66953,100,3,11,13,14,155
3.153678,2.728253,100,3,11,14,15,159
3.078313,2.790153,100,3,11,15,16,163
2.045224,2.760225,100,4,12,1,2,167
3.523135,2.722048,100,4,12,2,3,171
4.417524,-0.377673,100,4,12,5,6,175
2.710413,-0.335061,100,4,12,6,7,179
2.280134,-0.370439,100,4,12,7,8,183
2.199698,-0.324179,100,4,12,8,9,187
2.691283,-0.403171,100,4,12,9,10,191
3.967587,-0.343331,100,4,12,10,11,195
3.567148,2.708506,100,4,12,13,14,199
3.382239,2.710538,100,4,12,14,15,203
3.21061,2.770568,100,4,12,15,16,207
